Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
AZRY  -116.629701    33.540074   -31.602000    11.402000     0.092000     0.106000     0.124000     0.437000
BEMT  -115.998193    34.000533   -17.310000    -5.114000    -0.401000     0.113000     0.133000     0.448000
BILL  -117.064605    33.578245   -35.513000    14.392000    -0.632000     0.106000     0.124000     0.434000
BMRY  -116.984706    33.962684   -26.660000     9.205000    -0.537000     0.240000     0.281000     0.991000
BOMG  -115.729707    33.364628   -19.104000    -3.123000    -0.829000     0.452000     0.537000     1.862000
CACT  -115.989952    33.655135   -21.142000    -0.866000     0.062000     0.099000     0.117000     0.402000
COAG  -115.123348    32.863464   -13.425000    -7.289000    -2.516000     0.188000     0.214000     0.742000
COKG  -115.728503    32.850513   -32.571000    11.392000     1.529000     0.266000     0.302000     1.034000
COTD  -116.386893    33.732487   -26.511000     7.800000    -8.980000     0.179000     0.196000     0.743000
CRFP  -117.099686    34.039053   -28.506000     8.392000     0.363000     0.138000     0.163000     0.565000
CRRS  -115.735045    33.069808   -24.786000     7.449000     0.056000     0.223000     0.258000     0.920000
CTMS  -116.370428    34.124101   -18.400000     0.490000     0.756000     0.164000     0.192000     0.681000
DESC  -116.641803    32.829920   -39.701000    16.860000    -2.088000     0.176000     0.205000     0.701000
DHLG  -115.788031    33.389806   -22.909000    -1.001000    -0.784000     0.114000     0.134000     0.468000
DSSC  -116.712093    33.733332   -28.568000     9.272000    -0.174000     0.113000     0.117000     0.491000
DVLE  -117.000690    33.700586   -33.443000    13.889000     2.197000     0.190000     0.222000     0.782000
DVLS  -117.053628    33.691137   -34.526000    12.208000    -0.542000     0.126000     0.155000     0.575000
DVLW  -117.067440    33.657696   -34.739000    13.852000     1.491000     0.173000     0.208000     0.732000
DVNE  -116.993714    33.693537   -35.221000    12.253000    -3.375000     0.502000     0.508000     2.299000
DVNW  -117.066120    33.673405   -34.568000    14.373000    -9.851000     0.503000     0.604000     2.350000
DVSE  -116.990394    33.680802   -36.719000    12.614000    -4.849000     0.425000     0.467000     2.023000
